job_title,skill_required,location,link
LEGAL & COMPLIANCE,"Communication, Commitment, Team Work, Personal Effectiveness, English, MS Office, Trademark legislation, Trademark act, Corporate Law, International Law",COFICAB Tunis,COFICAB-page25.pdf
Partner Automotive Cables & Wires,"Global Presence, Technology, Excellence",,COFICAB-page5.pdf
Customer Service Representative,"Excellent Communication Skills, Problem Solving",,COFICAB-page5.pdf
Production Technician,"Experience in Manufacturing, Attention to Detail",,COFICAB-page5.pdf
Quality Control Inspector,"Attention to Detail, Knowledge of QA Processes",,COFICAB-page5.pdf
Maintenance Technician,"Experience in Industrial Maintenance, Technical Aptitude",,COFICAB-page5.pdf
Supply Chain Coordinator,"Organizational Skills, Knowledge of Logistics",,COFICAB-page5.pdf
HR Recruiter,"Recruiting Experience, Interpersonal Skills",,COFICAB-page5.pdf
Research & Development,Research skills,,COFICAB-page8.pdf
Logistics & Supply Chain,Logistics and Supply Chain Management,,COFICAB-page8.pdf
Controlling,Financial analysis and reporting,,COFICAB-page8.pdf
Purchasing,Procurement and supplier management,,COFICAB-page8.pdf
IT Operations,IT operations management,,COFICAB-page8.pdf
IT Business Intelligence,Data analysis and visualization,,COFICAB-page8.pdf
Legal & Compliance,Legal knowledge and compliance procedures,,COFICAB-page8.pdf
Business analyst,"Design and implement reports, dashboards. Design and implement solutions to retrieve and process data. Design and implement relational/multi-dimensional models. Design Data warehouses, Datamarts, set feeds ETL. Analyze execution results, extract KPIs and display them on the dashboard. Analyze sources technical data feed defined performance measures. Develop program to extract, transform and load data for business intelligence solution. Develop technological solutions related to reporting and analyze data.",PAGE11,Cynoia-page10.pdf
Mobile application builder,Experience building mobile applications. Proficient in React Native and modern JS specifications. Familiar with working in product development team. ,PROFILE,Cynoia-page10.pdf
Internship for Bac+3/5 students,Looking for studies internship.,PROFILE,Cynoia-page10.pdf
Internship,Peer-Mentoring Support,,Cynoia-page7.pdf
Internship,regular follow-up Learning,,Cynoia-page7.pdf
Internship,advanced technologies,,Cynoia-page7.pdf
Internship,Technical soft skills workshops,,Cynoia-page7.pdf
Internship,Several hiring opportunities,,Cynoia-page7.pdf
Internship,Friendly environment and agile culture,,Cynoia-page7.pdf
MOBILEDEVELOPER,"AddfeaturesCynoiamobileapp..Deploy,releasepublishCynoiamobileapplicationGooglePlay,AppStore.AccompanyCynoiaproductteamspecificationphases..Develop,supportmaintainCynoiaproductspartteam..Correctresolvebugsenhancementsreportedproductteamcustomers..Contributemaintenanceassociateddocumentation",PAGE10PROFILE,Cynoia-page9.pdf
Educationbackground,Bac+3/5Lookingstudiesinternship,PAGE10PROFILE,Cynoia-page9.pdf
HardSkills,Experiencebuildingmobileapplications.ReactNativemodernJSspecifications.Familiarworkingproductdevelopmentteam,PAGE10PROFILE,Cynoia-page9.pdf
SoftSkills,Beproactive.Openminded.Goodcommunicator.Decision-makingskills.Adaptability,PAGE10PROFILE,Cynoia-page9.pdf
Edge AI Server Developer,"Design appropriate architecture, configure & deploy edge AI server, familiarity with edge AI, Docker, Kubernetes, IoT devices, develop dashboard for the monitoring server performance",Remote,DATADOIT-page11.pdf
Digital Communication Strategist,Boosting visibility of the startup DATADOIT nationally and internationally,,DATADOIT-page12.pdf
SEO specialist,"Increase website traffic, optimize natural referencing, increase visibility on search engines",,DATADOIT-page12.pdf
Social Media Manager,"Improve visibility and engagement on social media platforms, familiarity with social media and web development",,DATADOIT-page12.pdf
Web Developer,Skills and competencies to improve website SEO and digital communication strategy,"Output 42r, location not specified",DATADOIT-page12.pdf
AI Pipeline Builder,"Deep Learning, Machine Learning, AIoT expertise",,DATADOIT-page2.pdf
AI-powered Solution Developer,"Deep Learning, Machine Learning, AI expertise",,DATADOIT-page2.pdf
Collaboration Manager,Understanding of modern business challenges,,DATADOIT-page2.pdf
Deploy Occupancy Analytics Solution Edge DATA DOIT Investigate different pre-trained models person detection Detect number video Perform specific analytics detected objects Objectives Critical problem solving skills Familiarity,CNN and computer vision applications,,DATADOIT-page5.pdf
Prior exposure development of IoT applications,Skills & competencies Benchmarking investigated models Optimization edge deployment selected model Development analytics dashboard Output,,DATADOIT-page5.pdf
Development Smart Attendance System,"Data DOIT Investigate, Deep learning models recognition, Train recognition model, Implement final smart classroom application, Critical problem solving skills, Familiarity CNN and computer vision applications, Prior exposure development of IoT applications",,DATADOIT-page6.pdf
Optimized Lightweight Database Schema,"Trained recognition model, Smart classroom application with statistical dashboard, Output 61r",,DATADOIT-page6.pdf
AI Solution early fire detection,"Detect fire dangers critical environments early stage, Local processing fire detection models, Critical problem-solving skills, Familiarity CNN and computer vision applications",DOIT,DATADOIT-page7.pdf
Detect fire dangers critical environments early stage,"Prior exposure development of IoT applications, Benchmark trained model, Optimization edge deployment, Computer vision pipeline, Efficient communication solution instant alerting",Local,DATADOIT-page7.pdf
Design Smart Queuing System,"Data Analysis, IoT, Critical problem-solving skills",,DATADOIT-page8.pdf
DATADOIT,"Gather data, Live video stream, Critical problem-solving skills",,DATADOIT-page8.pdf
Detect and generate variety movement statistics,"Computer Vision Applications, CNN familiarity, Optimize edge deployment",,DATADOIT-page8.pdf
Build application monitoring queuing systems,"Critical problem-solving skills, Object detection & recognition",,DATADOIT-page8.pdf
Development of IoT applications,"Object detection & recognition, Computer Vision Models, Analytics dashboard output",,DATADOIT-page8.pdf
Advanced Home Security using Object Detection,"Detect objects in unauthorized zones, Efficient deployment optimized models, Reduce false positive alerts, Critical problem solving skills, Familiarity with NN and computer vision applications",DATA DOIT,DATADOIT-page9.pdf
Local Smart NVR,"Real-time video analysis of security cameras, Active detection dynamic camera viewing, Prior exposure development of IoT applications",Output 61r,DATADOIT-page9.pdf
Application Developer,Proficient in Microsoft Azure services,,DATAHORIZON-page10.pdf
Application Developer,"Strong visual design skills, good understanding of user-system interaction, strong problem-solving skills, creative approach, Ability to work collaboratively in a team environment",,DATAHORIZON-page11.pdf
C# Programmer,"Experience in C# programming language, Possession of excellent oral and written communication skills, Show motivation, strong commitment to delivering results, Have excellent organizational skills and be able to make independent decisions",,DATAHORIZON-page11.pdf
API Development/Integration Specialist,"Angular, C#, SharePoint Framework (SPFx), Microsoft Azure (preferred), API development/integration, Ability to work collaboratively in a team environment",,DATAHORIZON-page11.pdf
Azure Governance Developer,"Azure architecture, Azure governance, Advanced Azure services, Artificial Intelligence",Microsoft headquarters,DATAHORIZON-page12.pdf
Microsoft Service Administrator,"Knowledge of Microsoft services including Office365 and Azure, Azure governance",Flexible/remote,DATAHORIZON-page12.pdf
Artificial Intelligence Specialist,"Expertise in Artificial Intelligence technologies, Knowledge of Azure services",Free location,DATAHORIZON-page12.pdf
Azure Application Developer,"Advanced knowledge of Azure services, Experience in developing applications using Microsoft's newest Azure services",Microsoft headquarters,DATAHORIZON-page12.pdf
Microsoft Azure Governance Responsibilities,"['project design and development', 'visual design skills', 'user-system interaction', 'problem-solving skills', 'C# programming language', 'oral and written communication skills', 'motivation', 'commitment', 'organizational skills', 'independent decision making', 'API development/integration', 'Graph API']",unspecified,DATAHORIZON-page13.pdf
DevOps Engineer,"Azure DevOps, Azure Pipelines, Azure Libraries, GraphAPI, Azure Functions, Azure Blob Storage",,DATAHORIZON-page14.pdf
Build DevOps project Continuous Integration/Continuous (CID) based Azure DevOp Tool,"Ability to work collaborative team environment, Experience C# programming language DevOps environment, Possession excellent oral written communications skills, Show motivation strong commitment delivering results, Have excellent organizational skills and be make independent decisions",,DATAHORIZON-page15.pdf
Azure DevOps,"Ability to work collaborative team environment, Experience C# programming language DevOps environment, Possession excellent oral written communications skills, Show motivation strong commitment delivering results, Have excellent organizational skills and be make independent decisions, NodeJS, C#, Microsoft Azure(preferred), API development/integration",,DATAHORIZON-page15.pdf
SharePoint Developer,"SharePoint, Microsoft Teams",,DATAHORIZON-page16.pdf
Process Optimization Manager,"Human Resources Management, Activity Reporting, Project Staffing",,DATAHORIZON-page16.pdf
Implementation process management APP,"Java, Problem-solving",,DATAHORIZON-page17.pdf
Implementation process management APP,"ReactJS, Java, Problem-solving",,DATAHORIZON-page17.pdf
Implementation process management APP Internship,Java,,DATAHORIZON-page17.pdf
Implementation process management APP,"SharePoint Online, Microsoft Teams, SharePoint Framework Extensions (SPFx), PnP, Microsoft Azure (Azure Functions, WebJob, LogicApps), PowerPlatform (PowerApps, PowerAutomate), Java, Problem-solving",,DATAHORIZON-page17.pdf
digital innovator,Microsoft technologies,unknown,DATAHORIZON-page2.pdf
expert team,Microsoft365Azure,worldwide,DATAHORIZON-page2.pdf
SelectionresumesLanguagetest,"['French', 'English']",SELECTIO,DATAHORIZON-page5.pdf
NPROCESSTechnicaltest,['Technical'],HRinterview,DATAHORIZON-page5.pdf
Technicalinterview,['Technical'],HRinterview,DATAHORIZON-page5.pdf
Chatbot Developer,Experience in developing chatbots using Microsoft Bot Framework and C# programming language,Microsoft Azure,DATAHORIZON-page8.pdf
Azure Developer,Experience in developing and deploying applications on Microsoft Azure,Microsoft Azure,DATAHORIZON-page8.pdf
SharePoint Developer,Experience in developing and deploying applications on SharePoint Online/Office365,Microsoft Azure,DATAHORIZON-page8.pdf
Messaging Applications Developer,"Experience in developing applications for messaging platforms such as Skype, Teams, Facebook Messenger, Slack, etc.",Microsoft Azure,DATAHORIZON-page8.pdf
Intelligent Chatbots with Microsoft Azure,"['C# programming language', 'NodeJS', 'Microsoft bot framework', 'Structured database - SQL skills', 'Microsoft Azure (preferred)', 'API development/integration']",,DATAHORIZON-page9.pdf
Software Engineering,integrated management solutions ERP and enterprise management solutions,Discovery Informatique,Discovery Informatique-page1.pdf
Digital Strategy,software solutions adapted to each need and integrated with a global digital strategy,Discovery Informatique,Discovery Informatique-page1.pdf
IT Expertise and Development,Tech innovation and Industry 4.0,Centre d'expertise & développement IT métiers,Discovery Informatique-page1.pdf
Développement d'un éditeur graphique workflow,"Springboot2, Angular13, PostgreSQL",,Discovery Informatique-page10.pdf
"Conception et développement de nouvelles fonctionnalités, mise en place d'un système de synchronisation des données pour garantir le travail en mode déconnecté","Recueil et analyse du besoin, élaboration de cahiers de charges fonctionnels (spécifications détaillées), réalisation de conceptions techniques, intégration de modèles et notre couche applicative standard, réalisation de tests unitaires et les tests fonctionnels.",,Discovery Informatique-page12.pdf
Application mobile WMS prise en charge des modes connecté/déconnecté,"Flutter, REST/SOAPWS, SQLLite",,Discovery Informatique-page12.pdf
Mission Conception et développement de nouvelles fonctionnalités et migration d'anciens modules d'application de gestion de la maintenance assistée par ordinateur,"Dégage besoins fonctionnels et non fonctionnels de l'application, Elaboration cahiers charges, Réalisation conceptions techniques, Travaille sujets de recherche, Réaliser des tests unitaires / les tests fonctionnels",,Discovery Informatique-page14.pdf
Refonte d’une Application GMAO,"Environnement technique Springboot 2, Angular 13, PostgreSQL",,Discovery Informatique-page14.pdf
Application Scheduler Developer,"Spring Boot 2, Angular 13, PostgreSQL, AI constraint solver",Tunisia,Discovery Informatique-page15.pdf
Technical Lead,Bac+5 in Software Engineering,Tunisia,Discovery Informatique-page15.pdf
Functional Lead,Bac+5 in Software Engineering,Tunisia,Discovery Informatique-page15.pdf
BI module developer,"Knowledge in BI development, AI-based indicator proposal system, functional & technical coding skills, unit testing, functional testing",,Discovery Informatique-page17.pdf
Parametrable BI module developer,"Springboot2, Angular13, PostgreSQL, ApacheECharts, technical coding skills, software engineering degree",,Discovery Informatique-page17.pdf
Mission Vous en charge de concevoir et développer solution anticiper les problèmes identifier leurs symptômes baséel'intelligence artificielle,"Travailler sujets de recherche, Réalisation conceptions techniques, Intégration modèle notre couche applicative standard, Réaliser tests unitaires, les tests fonctionnels",,Discovery Informatique-page18.pdf
Maintenance prédictive 4.0,"Machine Learning, Python, Angular13",,Discovery Informatique-page18.pdf
Profil recherché,"Bac+5/Génie Logiciel, DataScience, DataAnalyst",,Discovery Informatique-page18.pdf
Responsable Technique,WafaNAWECH,,Discovery Informatique-page18.pdf
Responsable Fonctionnelle,Anis KHALIFA,,Discovery Informatique-page18.pdf
Nombre stagiaire,1,,Discovery Informatique-page18.pdf
Date démarrage,ASAP,,Discovery Informatique-page18.pdf
Durée stage,6 mois,,Discovery Informatique-page18.pdf
UIUX-01: Standard application UI and UX Improvement,"Adobe Suite (XD, Photoshop, Illustrator)",Khaled HAMMROUNI,Discovery Informatique-page20.pdf
Client Relationship Manager,"Customer service, problem-solving, communication",,Discovery Informatique-page3.pdf
IT Specialist,"Innovation, technology knowledge, problem-solving, adaptability",,Discovery Informatique-page3.pdf
Marketing Specialist,"Innovation, market knowledge, performance, communication, adaptability",,Discovery Informatique-page3.pdf
Stage PFE,informatique,Discovery,Discovery Informatique-page7.pdf
Stage PFE,département R&D,Discovery,Discovery Informatique-page7.pdf
Contents1-3Who?,-,"PFE, Topics@DRÄXLMAIER, Sousse",DRAXLMAIER-page1.pdf
OurSelectionProcess,-,"PFE, Topics@DRÄXLMAIER, Jemmal",DRAXLMAIER-page1.pdf
cs@SousseHub,5-6,"7-13, 14-24, PFE, Topics@DRÄXLMAIER, Zaouiet Sousse",DRAXLMAIER-page1.pdf
-,-,"PFE, Topics@DRÄXLMAIER,Siliana 42-46",DRAXLMAIER-page1.pdf
Profile: Master/Engineer IT,"English, MS Office, VBA, PLC Programming",,DRAXLMAIER-page10.pdf
Intern,"English,MSoffice,VBA,PLCProgramming",Site Infrastructure Department,DRAXLMAIER-page11.pdf
Security Reports Digitalization,"Programming, VBA, English language proficiency, site infrastructure",Department Reference: P05,DRAXLMAIER-page12.pdf
IT Engineer,"English,MSoffice,LeanmanagementHealthSafetyProcess",Internal,DRAXLMAIER-page13.pdf
Six Sigma Project-Reduce Process Variability,"DMAIC, Mechanical/Electronic Engineering, English, MS Office, Lean-sixsigma management",Analyzing the current state,DRAXLMAIER-page14.pdf
Internship in Production Department,"English, MS Office, Lean-sixsigma management","Profile: Mechanical/Electronic engineer, Production department",DRAXLMAIER-page14.pdf
Mechanical/Electronic Engineer,"English, MS Office, Programming",New York,DRAXLMAIER-page15.pdf
Finite Element Simulation Engineer,"Mechanical/Electronic Engineering, Finite Element Methodology, MS Office, English",Project09 Production Department,DRAXLMAIER-page16.pdf
IT Engineer,"English/German,QualityManagement,ProblemSolving,LogicalThinking",Tunisia,DRAXLMAIER-page18.pdf
Engineer (Technical fields/Quality Management),"English, MS office, Professional Education",2023-2023 Project123 Implementation EOMS based ISO 21001 Norm Implementation Management System Educational Organizations (EOMS) professional education department based on ISO 21001,DRAXLMAIER-page20.pdf
Intern,"Description: Required Skills: English, MS office, Professional Education","P12 Apply here Analyze current state. Determine external internal issues affect ability achieve the intended outcomes professional education department. Establish implement EOMS, including processes needed and interaction, accordance requirement ISO21001.",DRAXLMAIER-page20.pdf
Front-end Developer/Software Engineer,"['English', 'JavaScript programming', 'Angular', 'Web development', 'Front-end development', 'AWS']",,DRAXLMAIER-page21.pdf
Data Scientist/Software Engineer,"English, Python programming, TensorFlow, Data Science, AWS",Digital Business Data Science Department,DRAXLMAIER-page22.pdf
AITransformers Text Classification Project,"English, Python programming, TensorFlow, Data Science, AWS","Project Location: Not specified, Duration: 4 Months, Number of Interns: 1 intern",DRAXLMAIER-page22.pdf
ITSW Engineer,"English, script programming (Python similar), SAP or similar IT application desired, MS office",Global,DRAXLMAIER-page24.pdf
Front-end Developer/Software Engineer,"English, JavaScript programming, Angular, Web development, Front-end development, AWS",Production settings,DRAXLMAIER-page25.pdf
Data Scientist,"English, algorithmic solution, optimization, evaluation metric tracking AI models",Digital Business Data Science Department,DRAXLMAIER-page25.pdf
IT Engineer,"English, MS office",Mobility Services,DRAXLMAIER-page26.pdf
IT Engineer,"English, Machinelearning, SciKit-Learn, NLP, NLTK, Spacy, Python, TypeScript",P19,DRAXLMAIER-page27.pdf
Effective Social Media strategy,"Strong writing skills French/English, Excellent knowledge social media platforms, Graphic design, Creative mindset, filming photo",Reference: P20,DRAXLMAIER-page28.pdf
Corporate Communications Support,"Designing visuals internal & external communications campaigns, Community management: creating social media campaigns and contents, Design present social media campaign ideas",Apply here,DRAXLMAIER-page28.pdf
IT Engineer,"MS, PowerApps, PowerBI",,DRAXLMAIER-page31.pdf
HR intern,"MS Office, English, HR degree, Bachelor in management",,DRAXLMAIER-page32.pdf
IT Engineer,"MS,PowerApps,PowerBI",,DRAXLMAIER-page33.pdf
Intern - Industrial Engineer,"English, MS Office, Advanced VBA Level Programming, Site Infrastructure","Project 26, Reference: P26, Apply here",DRAXLMAIER-page35.pdf
Integrated Management System Implementation,"English, MS office, knowledge related ISO14001 and ISO45001",P27,DRAXLMAIER-page36.pdf
Software Engineer,"English, MS Office, CAD drawing, Lean Manufacturing, Logistic Department",P28,DRAXLMAIER-page37.pdf
Intern,"English, MS Office, CAD drawing, Lean Manufacturing",WH05 Logistic Department,DRAXLMAIER-page38.pdf
Software Engineer,"Database, SQL, Oracle, Angular, Springboot, Java, Architecture J2EE",Logistic Department,DRAXLMAIER-page39.pdf
Quality/Electric/Industrial Engineer,"Design, AutoCAD, MESOffice, English",Project31,DRAXLMAIER-page40.pdf
Electromechanics Mechatronics Automation,"ROS, GAZEBO, RVIZ, SOLIDWORKS, CAD drawing",P32,DRAXLMAIER-page41.pdf
Intern,"ROS, GAZEBO, RVIZ, SOLIDWORKS, CAD drawing",P32,DRAXLMAIER-page41.pdf
IT Engineer,"IoT, MS Office, PowerBI, English",Project33,DRAXLMAIER-page42.pdf
IT Department Analyst,"IT Security, Project Management, English, Communication",Information Technology Department,DRAXLMAIER-page42.pdf
IT Engineer,"['IoT', 'MS Power APP']",An,DRAXLMAIER-page43.pdf
IT Engineer,"IoT,MS Office,PowerBI",Project 35,DRAXLMAIER-page44.pdf
Realization Vertical Warehouse (Storage BB),"Mechanical/Mechatronic/Electronic engineering, Electrical and Mechanical skills",Department,DRAXLMAIER-page45.pdf
IT Engineer,Computer science skills,Department,DRAXLMAIER-page46.pdf
Project 38: Well-being work,"English, MS Office",2023-2024,DRAXLMAIER-page48.pdf
HR Degree Management,"English, MS Office, Human Resources Department",4 Months,DRAXLMAIER-page48.pdf
Mechanical/Electronic Engineer,"English, MS Office, CAD drawing, PLC programming",Project 41: Warehouse Fill Rate,DRAXLMAIER-page50.pdf
Developing VBA interface,"English, MSExcel, VBA developing",2022-2023,DRAXLMAIER-page51.pdf
Installing sensors system,English,2022-2023,DRAXLMAIER-page51.pdf
Developing electronic/WIFI system,English,2022-2023,DRAXLMAIER-page51.pdf
Project 42: Digital Warehouse stock real time,English,2022-2023,DRAXLMAIER-page51.pdf
Profile: Mechanical/Electronic/Electrotechnical Engineer,"English, MSExcel, CAD drawing, PLC programming, VBA developing",Duration:6Months.NumberInterns:2Interns.,DRAXLMAIER-page51.pdf
Continuous Improvement Process Department Reference:P42,English,2022-2023,DRAXLMAIER-page51.pdf
Developing VBA interface,"English, MS Excel, VBA developing",,DRAXLMAIER-page52.pdf
Project 43: Warehouse 07 Ordering Identification System,"Visual and sound identification system, PLC programming",,DRAXLMAIER-page52.pdf
Electronic Electrotechnical Engineer/IT Developer,"English, MS Excel, CAD drawing, PLC programming, VBA developing",,DRAXLMAIER-page52.pdf
Continuous Improvement Process Department,"Analyze current status, Provide solution, Develop database, Facilitate management components state, Project management, Kanban Feeding System, Inventory management, Enhance logistics value chain",P01,DRAXLMAIER-page7.pdf
Industrial engineer,"English, MS Excel, Kanban system, Inventory management, Logistics value chain, Project management",46 Months,DRAXLMAIER-page7.pdf
Python Developer,"Python, ML, DL, NLP, Jupyter Notebook, TensorFlow",,DueToData-page10.pdf
Artificial Intelligence Intern,"Python, ML, DL, NLP, TensorFlow",,DueToData-page10.pdf
Stage accompagné de 4 à 6 mois,expertise dans l'entreprise,,DueToData-page11.pdf
APPLICATIONDEGESTIONDEDONNÉESDESPÈLERINS,"ReactNative,NodeJs,Basededonnées,LocalisationGPS",,DueToData-page5.pdf
"Étude et développement du système complet de gestion des données personnelles pèlerins(identité, nationalité, groupe sanguin, allergies, maladies chroniques, traitement en cours, lieu de résidence temporaire pendant le pèlerinage, personne à contacter sur place, personne à contacter à l’étranger, ...)","ReactNative,NodeJs,Basededonnées,LocalisationGPS",,DueToData-page5.pdf
Modèle d'analyse de expressions faciales,"OpenCv, Python, Flask, NodeJs, Tensoflow, ML, DL",PFEBOOK202346mois,DueToData-page6.pdf
Blockchain Developer,"Blockchain, Smart Contracts, Solidity, NodeJs, JavaScript",Tunisia,DueToData-page8.pdf
Mobile Application Developer,"React Native, NodeJs, JavaScript",Tunisia,DueToData-page8.pdf
Développeur,"['ASP.Net', '.NET/C#', 'SQLServer', 'HTML', 'outils Entityframework', 'VisualStudio', 'Reportingservices', 'Soap', 'ASP.NET Core 2.0', 'Angular Javascript']","Tunis, Les Berges Lac1",Développeur -page0.pdf
Développeur ERP,"Bac+3 Informatique, Maîtrise Python, Connaissance langages javascript, XML, CSS, Maîtriser Web Services API, Bonne maîtrise français écrit oral, Rigueur sens organisation, Autonomie, Convivialité sens relationnel, Capacité d’écoute communication, Esprit d’équipe, Adaptabilité gestion stress",France,Développeur ERP-page0.pdf
Full Stack Developer,"C#, REST, Swagger, .NET, Azure","Expensya, Tunisia",Expensya-page14.pdf
Chatbot Developer,"C#, Microsoft Teams SDK","Expensya, Tunisia",Expensya-page14.pdf
UX Designer,User Experience Design,"Expensya, Tunisia",Expensya-page14.pdf
Software Developer,"Knowledge of APIs, Familiarity with OAuth2 authentication, Experience in SDK development","Tunis, Tunisia",Expensya-page15.pdf
Graduation Internship,C#,www.expensya.com,Expensya-page16.pdf
Tg&Erfwr,"REST, Swagger, Azure API Management, Oauth2, SDK, Azure Pipeline, OpenAPI, .NET","Determine accommodate Oauth2 changes, including checking what Azure API Management offers",Expensya-page16.pdf
2023 Edition,"define a migration strategy, taking backward compatibility account. Choose solution implementing APIs SDK; set process for maintaining SDK autodeploy it.",implement OAuth2 workflow,Expensya-page16.pdf
C#.NET WPF Integration Workflow Public API Finance,"job, sales and finance teams tools, sign deals, clients, paper version HubSpot (CRM), continuing PPM Pro (Project management tool), arrive back application ",Expensya,Expensya-page17.pdf
Gen financial system and integrating different tools to facilitate life sales and financial teams,"2 integrations developed (contract from source, automatically store back system the sale re-type finally month trigger billing, automatically send the bill billing system finance team Ex)",R&D Department,Expensya-page17.pdf
Devops,"Typescript, NodeJs, Webpack, Automation, CI/CD, Web Performance Testing",Expensya,Expensya-page19.pdf
R&D,"Duration, A6",2023 Edition,Expensya-page19.pdf
Graduation Internships,"C#.NET, .NET Core, SQL server, Angular, HTML, CSS",www.expensya.com,Expensya-page21.pdf
Administrator,"more autonomous, facilitate integration deployment customers",-,Expensya-page21.pdf
Export Customization,"set user-friendly interfaces administrators, create, configure custom invoice exports(accounting, payroll, meal allowance...).These exports generate files integrated ERP adequate(SAGE, CEGID, Quickbooks, SAP...). This feature administrator more autonomous facilitate integration deployment customers. FYI: export set columns(VATValue, VATTC laimValue, ValueToReimburse, Invoice'Value, Invoice'Date, AppovalDate, Invoice'Date...), set of lines(VATline, analyticline...)setproperties(encoding, extension, seperator...).",-,Expensya-page21.pdf
R&D Department,A6,Sb8:2023Edition,Expensya-page21.pdf
IAC#,".NET, .NETCore, SQL server, Machine Learning",Ipfrtr/rfrExpMrpeExpensyaMarketplace,Expensya-page23.pdf
customer library,"1000 integrations (Payroll, Accounting, Bank, Travel...)","ERPsSIs(SAGE,CEGID,SociétéGénérale,BNPP,TravelPerk,AirPlus...)",Expensya-page23.pdf
Smarter system helps user,"Easily, quickly find the integrations suits perfectly/partially need",,Expensya-page23.pdf
Internship for Web and mobile application development,"C#, .NET, .NET Core, SQL Server, Angular, HTML, CSS","Expensya, Integration and Notification center",Expensya-page24.pdf
R&D developer for In-App notification center,"C#, .NET, .NET Core, SQL Server, Angular, HTML, CSS","Expensya, Integration and Notification center",Expensya-page24.pdf
Product marketing manager,"product development, marketing, sales, competition analysis, integration, product demos, content creation",,Expensya-page26.pdf
Product Manager,"transversal work, product analysis, KPIs, SQL querying, BI tools (PowerBI, Tableau), analytic tools (GoogleAnalytics, Amplitude, Hotjar)",TBD,Expensya-page27.pdf
Internship,"knowledge in practice, sensitivity, passion for challenges, final project",Expensya,Expensya-page3.pdf
French unicorn internship,advisory skills,Expensya,Expensya-page3.pdf
Technical skills internship,"high level of technical skills, knowledge of technologies, tools apprehension, high level architectural and critical",Expensya,Expensya-page3.pdf
Internship in the Reliability Department,"Monthly income calculation, Power BI dashboard, anomaly analysis",www.expensya.com,Expensya-page5.pdf
Internship in the Participation Department,"Evolution dashboard (definition specifications the technical team), process documentation, drafting invoicing collection process",www.expensya.com,Expensya-page5.pdf
Internship in the Drafting Department,"Drafting invoicing documentation, calculation methods various Expensya modules, drafting control process",www.expensya.com,Expensya-page5.pdf
Internship in the Backoffice Customer Department,"Carried Power BI, ADV/Collection & daily lettering bank flows (customer payments), updating aged trial balance monitoring lettering process progresses",www.expensya.com,Expensya-page5.pdf
Internship in the Backoffice Customer Department,"Activating regular alert backoffice customer cceeds late payment threshold, handling simple customer requests, updating billing addresses (depending mastery-based system)",www.expensya.com,Expensya-page5.pdf
Risk Management intern,ISO27001,Department A,Expensya-page7.pdf
Risk Management intern,Cybersecurity,Department A,Expensya-page7.pdf
Risk Management intern,Information Security Risk Assessment,Department A,Expensya-page7.pdf
Legal Intern,"contract management, legal archiving, legal specialist, legal research, documentation","Tunis, Tunisia",Expensya-page8.pdf
Corporate Legal,"Contract management, Legal archiving",,Expensya-page8.pdf
Network and Security Engineer,"networking, security, development",France,EY-page103.pdf
Master Ingénieur réseau et sécurité,"Développement de plateforme permettant une extraction de la configuration de divers systèmes (Windows, Linux, Mac, VMWare, Oracle, MySQL, MSSQSL, Mongo, Apache, Nginx, IIS, Fortinet, Cisco), contrôler la conformité sur la base du CIS Benchmark / best practices et élaborer un rapport de synthèse.",,EY-page104.pdf
Master Ingénieur réseau et sécurité,Projet,,EY-page104.pdf
Master Ingénieur réseau et sécurité,Durée: Jusqu’6Mois,,EY-page104.pdf
Master Ingénieur réseau et sécurité,Opportunités ouvertes:0102,,EY-page104.pdf
Transaction Diligence,"Due Diligence financière, fiscale & sociale",International,EY-page11.pdf
Champs d'intervention projets,Opportunités ouvertes,International,EY-page11.pdf
Relations basées sur l'honnêteté,-,-,EY-page111.pdf
Consultante de l'équipe People Consulting (Consulting),-,-,EY-page111.pdf
Consultant de l'équipe TechnoRisk (Consulting),-,-,EY-page111.pdf
Auditrice sein de l'équipe Audit (Assurance),-,-,EY-page111.pdf
Témoignages de nos stagiaires,-,-,EY-page111.pdf
Consultant junior,"People Consulting, professionalism, values, respect",EY Tunis,EY-page113.pdf
Auditor,Assurance,EY,EY-page114.pdf
Solving The World’s Toughest Challenges,Problem-solving skills,,EY-page115.pdf
Building A Better Working World,Teamwork and communication skills,,EY-page115.pdf
Scale Provider,"scale, tech teams",,EY-page116.pdf
Opportunities and Challenges Analyst,"see opportunities, see challenges",,EY-page116.pdf
Meaningful Impact Maker,make meaningful impact,,EY-page116.pdf
Internship,Choosing maximum 1 reference listed in 'StagesPFEBook2022-2023',Online,EY-page118.pdf
Internship,Filling the online form,Online,EY-page118.pdf
TAX Internship,"Accounting, Financial Reporting, International Accounting Standards",International,EY-page15.pdf
Tax Internship,"Tax assistance, tax preparation, tax consultation",International,EY-page16.pdf
CCA Accounting Professional Master,Professional accounting qualifications in CCA,,EY-page16.pdf
Internship in International Tax,comptabilité en CCA,,EY-page17.pdf
Internship in TAX,"International tax, expatriate tax, project management, fluent in English",,EY-page18.pdf
Data scientist/Data engineer,Mastering en génie,,EY-page22.pdf
Ingénieur BI-Data Analyst,Maîtrise outils visualisation idéalement Microsoft PowerBI,,EY-page25.pdf
Business Analyst,Finance Assurance sector analysis,Lamise,EY-page27.pdf
